"n","nchain","run","exp","rmse","cov"
1000,2,15,1,0.802723486331972,0.982
1000,5,15,1,0.796152100362046,0.99
10000,1,15,1,0.432137312500127,0.927
10000,2,15,1,0.431930360580146,0.933
10000,5,15,1,0.412047365036927,0.953
1e+05,1,15,1,0.253077665599054,0.723
1e+05,2,15,1,0.229419573103478,0.819
1e+05,5,15,1,0.207224005725092,0.898
20000,1,15,1,0.378766044123483,0.867
20000,2,15,1,0.374930875979797,0.877
20000,5,15,1,0.355197314554772,0.917
50000,1,15,1,0.305425028887018,0.749
50000,2,15,1,0.285436981474228,0.833
50000,5,15,1,0.262317183709746,0.912
100,1,16,1,1.95354973851996,0.926
100,2,16,1,1.94917245721039,0.93
100,5,16,1,1.94596437111103,0.931
1000,1,16,1,0.803402894927488,0.979
1000,2,16,1,0.762400869182414,0.985
1000,5,16,1,0.778000766497901,0.983
10000,1,16,1,0.469537506158273,0.902
10000,2,16,1,0.450824037743448,0.932
10000,5,16,1,0.442195904214397,0.942
1e+05,1,16,1,0.256513974590691,0.688
1e+05,2,16,1,0.245743243849914,0.772
1e+05,5,16,1,0.220709251100923,0.886
20000,1,16,1,0.388578350428352,0.85
20000,2,16,1,0.37997094029196,0.887
20000,5,16,1,0.366439340734738,0.912
50000,1,16,1,0.300169199698417,0.792
50000,2,16,1,0.26937922741114,0.845
50000,5,16,1,0.249215382280161,0.905
100,1,17,1,1.76861889047866,0.938
100,2,17,1,1.74798668993382,0.939
100,5,17,1,1.75295818269054,0.942
1000,1,17,1,0.74328212031772,0.991
1000,2,17,1,0.775477996727849,0.991
1000,5,17,1,0.746312465190952,0.995
10000,1,17,1,0.429861728489039,0.925
10000,2,17,1,0.419938086425701,0.933
10000,5,17,1,0.397784085118648,0.958
1e+05,1,17,1,0.260831205487857,0.686
1e+05,2,17,1,0.245220190441722,0.779
1e+05,5,17,1,0.220789429011027,0.881
20000,1,17,1,0.369345415228899,0.884
20000,2,17,1,0.367915083215393,0.895
20000,5,17,1,0.346562326814355,0.926
50000,1,17,1,0.294318726939498,0.784
50000,2,17,1,0.275954493568671,0.867
50000,5,17,1,0.258618148349795,0.896
100,1,18,1,1.48678011868422,0.983
100,2,18,1,1.48878041930168,0.986
100,5,18,1,1.50548020856301,0.981
1000,1,18,1,0.85012354313938,0.981
1000,2,18,1,0.851764369218189,0.982
1000,5,18,1,0.833955982782342,0.991
10000,1,18,1,0.447865211739993,0.912
10000,2,18,1,0.437426959784861,0.929
10000,5,18,1,0.416323474618059,0.961
1e+05,1,18,1,0.257921571132919,0.688
1e+05,2,18,1,0.230614707847276,0.792
1e+05,5,18,1,0.212623027648277,0.884
20000,1,18,1,0.366315591874259,0.863
20000,2,18,1,0.348153239015378,0.921
20000,5,18,1,0.330936635236907,0.937
50000,1,18,1,0.303043398473012,0.772
50000,2,18,1,0.275345667751789,0.859
50000,5,18,1,0.25626674660023,0.916
100,1,19,1,1.35511717483906,0.985
100,2,19,1,1.35622882554632,0.984
100,5,19,1,1.37891558529219,0.983
1000,1,19,1,0.840068589672602,0.986
1000,2,19,1,0.813906939083696,0.987
1000,5,19,1,0.789401235121816,0.99
10000,1,19,1,0.466127423437081,0.9
10000,2,19,1,0.449827954521241,0.924
10000,5,19,1,0.431503397274116,0.938
1e+05,1,19,1,0.253883755110184,0.741
1e+05,2,19,1,0.234642336154933,0.829
1e+05,5,19,1,0.214278843775911,0.919
20000,1,19,1,0.387630962975722,0.846
20000,2,19,1,0.370312482703296,0.885
