"RMSE","Coverage","Interval length","n","run","Chains"
1.5693474345997,0.625,2.75167870100003,100,1,1
1.32710710320509,0.86,4.14929886706643,100,1,2
1.13496096615368,0.93,4.5517120769541,100,1,3
1.17220591054076,0.935,4.75677195240934,100,1,4
1.1049753530381,0.97,4.97595503840519,100,1,5
1.18509958549956,0.95,4.54811284597793,100,1,6
1.04395888213537,0.995,5.11443566415599,100,1,7
1.13301997819664,0.97,5.03599672162459,100,1,8
1.01760243967991,0.99,5.24707017308965,100,1,9
1.10235600669175,0.975,4.91638995336175,100,1,10
1.48724106000286,0.61,2.6961278151491,100,2,1
1.43531831810657,0.755,3.35526625895705,100,2,2
1.37387877887294,0.81,3.8081109914189,100,2,3
1.33753507459229,0.88,4.17457053942471,100,2,4
1.29904835551497,0.89,4.40671699017223,100,2,5
1.27717521276628,0.92,4.35029608309827,100,2,6
1.46944917407337,0.875,4.39374781734712,100,2,7
1.19807167667629,0.955,4.79675024864668,100,2,8
1.19448360360603,0.945,4.94806172843376,100,2,9
1.26994673865644,0.945,4.99597257018142,100,2,10
1.70643482406819,0.565,2.71008712033976,100,3,1
1.41582564957237,0.81,3.59758914410436,100,3,2
1.31990771442034,0.86,4.27764167878984,100,3,3
1.27162315327603,0.92,4.66624763737356,100,3,4
1.26857597371663,0.925,4.4631816517867,100,3,5
1.22663330536661,0.93,4.76792436695221,100,3,6
1.15431124574168,0.95,4.83785323482183,100,3,7
1.26990661204245,0.94,5.14723512483067,100,3,8
1.21713035325438,0.955,4.96751308586806,100,3,9
1.13693793147632,0.975,5.01319690955308,100,3,10
1.4182630858434,0.755,3.42550974512756,100,4,1
1.01233933544082,0.905,4.05128178042236,100,4,2
1.29325289204463,0.795,3.36562194012118,100,4,3
1.15169855644202,0.86,3.64889715211085,100,4,4
1.3918188520023,0.78,3.55559254821743,100,4,5
1.24561138521688,0.85,3.6411420262425,100,4,6
1.19038242203085,0.86,4.04687685002679,100,4,7
1.23884361360731,0.85,3.80325114945099,100,4,8
1.13457922361068,0.91,4.22147434948859,100,4,9
1.21682722242786,0.9,4.12426091141282,100,4,10
1.4799006441538,0.745,3.43476535887929,100,5,1
1.44388904900375,0.74,3.36584932973325,100,5,2
1.40249144569032,0.845,3.9930439254573,100,5,3
1.06722010532129,0.955,4.58381948337429,100,5,4
