"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
100,1,1,1,1.39438663738552,0.977
100,2,1,1,1.37476595358745,0.975
100,5,1,1,1.37351817051497,0.974
1000,1,1,1,0.794252537473077,0.992
1000,2,1,1,0.79511187096271,0.99
1000,5,1,1,0.805023468395411,0.994
10000,1,1,1,0.436299351720669,0.938
10000,2,1,1,0.415349879429767,0.959
10000,5,1,1,0.398406460876366,0.973
1e+05,1,1,1,0.366495387171961,0.945
1e+05,2,1,1,0.366187238391912,0.931
1e+05,5,1,1,0.367326754870272,0.941
20000,1,1,1,0.353599645817763,0.95
20000,2,1,1,0.336542674310253,0.963
20000,5,1,1,0.332844702592983,0.965
50000,1,1,1,0.337357816247873,0.924
50000,2,1,1,0.346906669718639,0.928
50000,5,1,1,0.340661571701445,0.93
100,1,10,1,1.51410904614043,0.956
100,2,10,1,1.51301650513643,0.953
100,5,10,1,1.51435654387429,0.951
1000,1,10,1,0.996179753111832,0.953
1000,2,10,1,0.988103051556051,0.963
1000,5,10,1,0.999949098167245,0.954
10000,1,10,1,0.375630927328836,0.978
10000,2,10,1,0.377738598257516,0.98
10000,5,10,1,0.379600669811564,0.982
1e+05,1,10,1,0.14730222662393,0.964
1e+05,2,10,1,0.176672094285102,0.95
1e+05,5,10,1,0.164158106956888,0.976
20000,1,10,1,0.390608234156191,0.943
20000,2,10,1,0.379460453304779,0.957
20000,5,10,1,0.398945633172314,0.953
50000,1,10,1,0.377402641998259,0.884
50000,2,10,1,0.373641947708144,0.893
50000,5,10,1,0.366225411283902,0.923
100,1,100,1,1.24659317659162,0.993
100,2,100,1,1.22317795823723,0.994
100,5,100,1,1.20564482676102,0.994
1000,1,100,1,0.80482458030887,0.989
1000,2,100,1,0.819664454191665,0.989
1000,5,100,1,0.861181533710019,0.986
10000,1,100,1,0.386871798173771,0.966
10000,2,100,1,0.376026105674687,0.969
10000,5,100,1,0.388139498004002,0.971
1e+05,1,100,1,0.209488091161528,0.909
1e+05,2,100,1,0.197935507047673,0.924
1e+05,5,100,1,0.200264837634662,0.938
20000,1,100,1,0.366461406927879,0.935
20000,2,100,1,0.343651442398844,0.955
20000,5,100,1,0.339016948601529,0.955
50000,1,100,1,0.17713437137852,0.955
50000,2,100,1,0.190721199058156,0.956
50000,5,100,1,0.163509496599381,0.977
100,1,11,1,1.48157108569875,0.959
100,2,11,1,1.47748282942446,0.961
100,5,11,1,1.47563125932124,0.962
1000,1,11,1,0.903319594329729,0.971
1000,2,11,1,0.896059189952917,0.968
1000,5,11,1,0.892558091404505,0.973
10000,1,11,1,0.465241285970825,0.957
10000,2,11,1,0.443458189626043,0.97
10000,5,11,1,0.443135522400206,0.968
1e+05,1,11,1,0.316283418769237,0.89
1e+05,2,11,1,0.313050029089009,0.905
1e+05,5,11,1,0.313384019093983,0.921
20000,1,11,1,0.381045847081807,0.94
20000,2,11,1,0.389107761400275,0.943
20000,5,11,1,0.377265783828692,0.947
50000,1,11,1,0.307589471642844,0.923
50000,2,11,1,0.303293871439917,0.933
50000,5,11,1,0.301602643361725,0.937
100,1,12,1,1.1939016037215,0.994
100,2,12,1,1.20289715477265,0.993
100,5,12,1,1.18108283242638,0.996
1000,1,12,1,0.783214776143345,0.99
1000,2,12,1,0.791733814336987,0.99
1000,5,12,1,0.783642335081631,0.989
10000,1,12,1,0.475136334357836,0.945
10000,2,12,1,0.492487070927629,0.949
10000,5,12,1,0.47091578752245,0.96
1e+05,1,12,1,0.350786253339846,0.888
1e+05,2,12,1,0.351215613858019,0.895
1e+05,5,12,1,0.35131663893592,0.915
20000,1,12,1,0.358579187880365,0.944
20000,2,12,1,0.35969944876065,0.952
