"","chain","pct_correct","num_changes","Size","exp"
"161",61,0.824,6,10000,"1"
"162",62,0.847,3,10000,"1"
"163",63,0.973,20,10000,"1"
"164",64,0.74,28,10000,"1"
"165",65,0.842,10,10000,"1"
"166",66,0.993,2,10000,"1"
"167",67,0.904,2,10000,"1"
"168",68,0.985,10,10000,"1"
"169",69,0,11,10000,"1"
"170",70,0.988,5,10000,"1"
"171",71,0.568,14,10000,"1"
"172",72,0.271,15,10000,"1"
"173",73,0,6,10000,"1"
"174",74,0.988,2,10000,"1"
"175",75,0.993,1,10000,"1"
"176",76,0,4,10000,"1"
"177",77,0.89,8,10000,"1"
"178",78,0,6,10000,"1"
"179",79,0.774,15,10000,"1"
"180",80,0.845,6,10000,"1"
"181",81,0.567,9,10000,"1"
"182",82,0.001,4,10000,"1"
"183",83,0.02,3,10000,"1"
"184",84,0.998,1,10000,"1"
"185",85,0.112,3,10000,"1"
"186",86,0.593,3,10000,"1"
"187",87,0.993,4,10000,"1"
"188",88,0,10,10000,"1"
"189",89,0.295,3,10000,"1"
"190",90,1,0,10000,"1"
"191",91,0.22,10,10000,"1"
"192",92,0.741,10,10000,"1"
"193",93,0.85,6,10000,"1"
"194",94,0.847,4,10000,"1"
"195",95,0.98,5,10000,"1"
"196",96,0.719,4,10000,"1"
"197",97,0.981,5,10000,"1"
"198",98,0.956,11,10000,"1"
"199",99,0.989,11,10000,"1"
"200",100,0.957,4,10000,"1"
"201",1,0.233,9,100,"2"
"202",2,0.941,19,100,"2"
"203",3,0.46,26,100,"2"
"204",4,0.408,41,100,"2"
"205",5,0.411,6,100,"2"
"206",6,0.219,82,100,"2"
"207",7,0.849,18,100,"2"
"208",8,0.863,10,100,"2"
"209",9,0.817,10,100,"2"
"210",10,0.368,11,100,"2"
"211",11,0.823,29,100,"2"
"212",12,0.815,14,100,"2"
"213",13,0.561,6,100,"2"
"214",14,0.295,24,100,"2"
"215",15,0.217,17,100,"2"
"216",16,0.71,21,100,"2"
"217",17,0.862,26,100,"2"
"218",18,0.561,83,100,"2"
"219",19,0.015,26,100,"2"
"220",20,0.714,5,100,"2"
"221",21,0.316,21,100,"2"
"222",22,0.307,22,100,"2"
"223",23,0.313,68,100,"2"
"224",24,0.896,30,100,"2"
"225",25,0.763,61,100,"2"
"226",26,0.521,102,100,"2"
"227",27,0.862,17,100,"2"
"228",28,0.358,28,100,"2"
"229",29,0.033,27,100,"2"
"230",30,0.729,12,100,"2"
"231",31,0.508,22,100,"2"
"232",32,0.911,5,100,"2"
"233",33,0.788,10,100,"2"
"234",34,0.38,4,100,"2"
"235",35,0.671,37,100,"2"
"236",36,0.184,172,100,"2"
"237",37,0.082,45,100,"2"
"238",38,0,37,100,"2"
"239",39,0.493,58,100,"2"
"240",40,0.964,3,100,"2"
"241",41,0.031,8,100,"2"
"242",42,0.685,8,100,"2"
"243",43,0.106,55,100,"2"
"244",44,0.979,9,100,"2"
"245",45,0.537,14,100,"2"
"246",46,0.502,10,100,"2"
"247",47,0.883,30,100,"2"
"248",48,0.096,87,100,"2"
"249",49,0.097,18,100,"2"
"250",50,0.559,17,100,"2"
"251",51,0.781,22,100,"2"
"252",52,0.883,13,100,"2"
"253",53,0.861,2,100,"2"
"254",54,0.802,14,100,"2"
