"n","nchain","run","exp","rmse","cov"
1e+05,1,16,1,0.0784179596654673,0.829
1e+05,10,16,1,0.0746700606447746,0.967
1e+05,20,16,1,0.0741100855039533,0.971
20000,1,16,1,0.102013809474906,0.933
20000,10,16,1,0.0893713142231187,0.964
20000,20,16,1,0.0869999154070752,0.975
50000,1,16,1,0.0885801007195267,0.896
50000,10,16,1,0.091116295850567,0.965
50000,20,16,1,0.090779803876369,0.972
1000,1,17,1,0.199958911558812,0.928
1000,10,17,1,0.194006166456285,0.932
1000,20,17,1,0.19141521791919,0.938
10000,1,17,1,0.141112715043138,0.909
10000,10,17,1,0.131130075329892,0.945
10000,20,17,1,0.134294768410124,0.946
1e+05,1,17,1,0.0605909004068445,0.926
1e+05,10,17,1,0.0605533331731292,0.978
1e+05,20,17,1,0.0574900031320142,0.981
20000,1,17,1,0.125752924689739,0.887
20000,10,17,1,0.114646767535215,0.955
20000,20,17,1,0.114719379187656,0.958
50000,1,17,1,0.133049517359943,0.886
50000,10,17,1,0.122934382519683,0.956
50000,20,17,1,0.12394293347272,0.957
1000,1,18,1,0.248225257581475,0.91
1000,10,18,1,0.253017282470416,0.91
1000,20,18,1,0.253608438366193,0.914
10000,1,18,1,0.13086571431178,0.944
10000,10,18,1,0.121223235289136,0.959
10000,20,18,1,0.122670228414208,0.956
1e+05,1,18,1,0.0814685032392155,0.855
1e+05,10,18,1,0.0785880570499826,0.965
1e+05,20,18,1,0.079015982465525,0.972
20000,1,18,1,0.105064145065472,0.867
20000,10,18,1,0.103336589687683,0.956
20000,20,18,1,0.10169763099719,0.963
50000,1,18,1,0.0750303040875155,0.88
50000,10,18,1,0.0685719245130895,0.966
50000,20,18,1,0.0654413806705564,0.978
1000,1,19,1,0.216841910794489,0.89
1000,10,19,1,0.218764723421252,0.88
1000,20,19,1,0.216453114758241,0.882
10000,1,19,1,0.0983646663325026,0.929
10000,10,19,1,0.105189836652402,0.965
10000,20,19,1,0.101230106367227,0.969
1e+05,1,19,1,0.0761838572818503,0.916
1e+05,10,19,1,0.0757577862371784,0.975
1e+05,20,19,1,0.0742991438451908,0.982
