"n","nchain","run","exp","rmse","cov"
20000,1,16,1,14.5244183169882,0.293
20000,10,16,1,14.3647798250178,0.343
20000,20,16,1,14.3499428394467,0.357
50000,1,16,1,35.7086451386698,0.05
50000,10,16,1,35.6480978768976,0.069
50000,20,16,1,35.6491526860178,0.077
1000,1,17,1,62.745131543768,0.108
1000,10,17,1,62.6606165856384,0.104
1000,20,17,1,62.697006534183,0.11
10000,1,17,1,32.3761616178895,0.071
10000,10,17,1,32.1508576129883,0.09
10000,20,17,1,32.1669192828409,0.091
1e+05,1,17,1,17.5134505958517,0.129
1e+05,10,17,1,17.4322865626262,0.183
1e+05,20,17,1,17.4025675237846,0.193
20000,1,17,1,29.2566551623536,0.147
20000,10,17,1,29.1726777645875,0.177
20000,20,17,1,29.1439323796598,0.187
50000,1,17,1,34.522871535576,0.065
50000,10,17,1,34.4898966406489,0.095
50000,20,17,1,34.4712473612384,0.099
1000,1,18,1,21.9542923540394,0.411
1000,10,18,1,22.1697583472107,0.406
1000,20,18,1,22.1189287605987,0.422
10000,1,18,1,37.9995328463235,0.085
10000,10,18,1,37.9816968681204,0.1
10000,20,18,1,37.9459064771945,0.104
1e+05,1,18,1,23.9980099777036,0.073
1e+05,10,18,1,23.910925267035,0.1
1e+05,20,18,1,23.9075669310424,0.097
20000,1,18,1,27.2085144905998,0.086
20000,10,18,1,27.2116282365577,0.114
20000,20,18,1,27.2226217884381,0.12
50000,1,18,1,43.2586274233402,0.022
50000,10,18,1,43.2364748837347,0.033
50000,20,18,1,43.2340728425941,0.035
1000,1,19,1,16.6223944183596,0.907
1000,10,19,1,16.375818094677,0.909
1000,20,19,1,16.3085855877834,0.91
10000,1,19,1,28.1057687091264,0.191
10000,10,19,1,28.1765281633687,0.209
10000,20,19,1,28.1244796965898,0.208
1e+05,1,19,1,28.8376761292945,0.102
1e+05,10,19,1,28.7610748263312,0.14
1e+05,20,19,1,28.756900395858,0.149
20000,1,19,1,56.1882374928175,0.002
20000,10,19,1,56.2442497727568,0.003
20000,20,19,1,56.2534908990491,0.004
50000,1,19,1,17.5771824923212,0.136
50000,10,19,1,17.4639387538433,0.191
50000,20,19,1,17.4751398236377,0.19
1000,1,2,1,29.323161788918,0.393
1000,10,2,1,29.330718314029,0.385
1000,20,2,1,29.256969328313,0.403
10000,1,2,1,33.5936459958584,0.235
10000,10,2,1,33.5044122089966,0.248
10000,20,2,1,33.4500200119362,0.258
1e+05,1,2,1,22.3024913736526,0.066
1e+05,10,2,1,22.2810928130204,0.1
1e+05,20,2,1,22.2824904989975,0.114
20000,1,2,1,14.6470720504539,0.209
20000,10,2,1,14.599428151058,0.24
20000,20,2,1,14.621280621847,0.256
50000,1,2,1,24.7807127338594,0.087
50000,10,2,1,24.7149079930878,0.119
50000,20,2,1,24.7036286955816,0.132
1000,1,20,1,55.861289543627,0.345
1000,10,20,1,55.6980904120013,0.344
1000,20,20,1,55.6324254309281,0.364
10000,1,20,1,46.6381302331887,0.117
10000,10,20,1,46.5074052982788,0.137
10000,20,20,1,46.5325803403588,0.15
1e+05,1,20,1,26.3017797799649,0.029
1e+05,10,20,1,26.2740384266345,0.052
1e+05,20,20,1,26.2649057034174,0.053
20000,1,20,1,14.1352704825326,0.277
20000,10,20,1,14.0246308860933,0.324
20000,20,20,1,14.0085380466414,0.334
50000,1,20,1,33.7657449243389,0.087
50000,10,20,1,33.7594324073628,0.113
50000,20,20,1,33.7572153081805,0.122
1000,1,21,1,47.4883704505079,0.092
1000,10,21,1,47.4738547706847,0.087
1000,20,21,1,47.4338372382129,0.083
10000,1,21,1,41.8225217873749,0.019
10000,10,21,1,41.6590691295632,0.023
10000,20,21,1,41.6387695292023,0.021
1e+05,1,21,1,45.4376668927374,0.046
1e+05,10,21,1,45.474544844849,0.074
1e+05,20,21,1,45.4724299416525,0.079
20000,1,21,1,26.7932832120891,0.097
20000,10,21,1,26.7897696268723,0.121
20000,20,21,1,26.7363840963773,0.129
50000,1,21,1,21.6756441170446,0.096
50000,10,21,1,21.6706416033752,0.135
50000,20,21,1,21.6599421988572,0.154
1000,1,22,1,27.9831289936989,0.439
1000,10,22,1,28.2544579570796,0.437
1000,20,22,1,28.17851495693,0.442
10000,1,22,1,24.2931104909274,0.218
10000,10,22,1,24.1868189657899,0.232
10000,20,22,1,24.2143917153053,0.236
1e+05,1,22,1,18.71141962481,0.101
1e+05,10,22,1,18.5122478479411,0.142
1e+05,20,22,1,18.509690726205,0.16
20000,1,22,1,20.0704641415689,0.137
20000,10,22,1,20.0492925865643,0.179
20000,20,22,1,20.0508683429446,0.185
50000,1,22,1,38.4582709309478,0.016
50000,10,22,1,38.3825809128848,0.016
50000,20,22,1,38.3810094933843,0.017
1000,1,23,1,33.7976665618118,0.273
1000,10,23,1,33.8675886130108,0.284
1000,20,23,1,33.8165954770481,0.282
10000,1,23,1,29.7369236473762,0.145
10000,10,23,1,29.6959206273321,0.158
10000,20,23,1,29.6694297973354,0.171
1e+05,1,23,1,20.781494485218,0.103
1e+05,10,23,1,20.648098096284,0.14
1e+05,20,23,1,20.636967884676,0.136
20000,1,23,1,24.3956526698604,0.121
20000,10,23,1,24.2972489116369,0.151
20000,20,23,1,24.2981821192042,0.16
50000,1,23,1,25.8643407982035,0.066
50000,10,23,1,25.808476270788,0.113
50000,20,23,1,25.8159363517515,0.114
1000,1,24,1,51.9860584012686,0.527
1000,10,24,1,51.9536966461518,0.522
1000,20,24,1,51.9507150386937,0.523
10000,1,24,1,23.179317813732,0.216
10000,10,24,1,23.1049432537493,0.242
10000,20,24,1,23.0914319581749,0.246
1e+05,1,24,1,16.4543445429279,0.096
1e+05,10,24,1,16.3839605557489,0.137
1e+05,20,24,1,16.3525501688756,0.144
20000,1,24,1,24.5259148030157,0.204
20000,10,24,1,24.3909076378453,0.231
20000,20,24,1,24.3879887846925,0.231
50000,1,24,1,40.51836563957,0.015
50000,10,24,1,40.4293008001722,0.016
50000,20,24,1,40.4378305007323,0.015
1000,1,25,1,48.1860684000492,0.314
1000,10,25,1,48.1506183267087,0.323
1000,20,25,1,48.1247634468798,0.316
10000,1,25,1,25.9047682439819,0.138
10000,10,25,1,25.9180898152575,0.158
