"n","nchain","run","exp","rmse","cov"
1000,1,15,1,0.382224103462951,0.998
1000,2,15,1,0.381325674733702,0.995
1000,5,15,1,0.361293919113469,0.998
10000,1,15,1,0.186830641333879,0.976
10000,2,15,1,0.16757892295402,0.995
10000,5,15,1,0.151875075507171,0.998
1e+05,1,15,1,0.0770635321974679,0.879
1e+05,2,15,1,0.0626385671697602,0.956
1e+05,5,15,1,0.0555985692418047,0.987
20000,1,15,1,0.137425679070167,0.961
20000,2,15,1,0.127175524570966,0.981
20000,5,15,1,0.113674067692685,0.999
50000,1,15,1,0.0984916367962962,0.911
50000,2,15,1,0.0857692537971034,0.964
50000,5,15,1,0.0748244508811927,0.988
100,1,16,1,0.949456249573042,0.982
100,2,16,1,0.955678835062447,0.979
100,5,16,1,0.940238792109888,0.981
1000,1,16,1,0.397518802837743,0.996
1000,2,16,1,0.384506478662295,0.997
1000,5,16,1,0.368997063043532,0.997
10000,1,16,1,0.19125272490455,0.97
10000,2,16,1,0.169338003514442,0.985
10000,5,16,1,0.155323717867034,0.995
1e+05,1,16,1,0.0695265507259092,0.906
1e+05,2,16,1,0.0592596206199183,0.965
1e+05,5,16,1,0.0509072671350147,0.994
20000,1,16,1,0.139368702421843,0.959
20000,2,16,1,0.118901010094747,0.983
20000,5,16,1,0.102204331950743,0.997
50000,1,16,1,0.106498834842772,0.918
50000,2,16,1,0.088232295461598,0.972
50000,5,16,1,0.0766547844827422,0.994
100,1,17,1,0.99003581798108,0.928
100,2,17,1,0.982843613065167,0.929
100,5,17,1,0.99238206486121,0.923
1000,1,17,1,0.348309634251328,0.999
1000,2,17,1,0.343021261617153,1
1000,5,17,1,0.34311409040078,1
10000,1,17,1,0.189732953386613,0.972
10000,2,17,1,0.168928360384983,0.989
10000,5,17,1,0.155535872373207,0.999
1e+05,1,17,1,0.0770003289910103,0.88
1e+05,2,17,1,0.0650255893689114,0.953
1e+05,5,17,1,0.0579055775032761,0.985
20000,1,17,1,0.134408241711938,0.971
20000,2,17,1,0.121227970075245,0.988
20000,5,17,1,0.109724027728351,0.997
50000,1,17,1,0.102500254226837,0.928
50000,2,17,1,0.08939200740105,0.959
50000,5,17,1,0.0792488188911944,0.991
100,1,18,1,1.0059518806305,0.979
100,2,18,1,1.02040945647907,0.97
100,5,18,1,1.01152599168494,0.974
1000,1,18,1,0.413821373099311,0.994
1000,2,18,1,0.411341656764817,0.995
1000,5,18,1,0.392385988778605,0.998
10000,1,18,1,0.188339720488479,0.973
10000,2,18,1,0.190155655179484,0.978
10000,5,18,1,0.16766398606541,0.989
1e+05,1,18,1,0.0779607074528442,0.887
1e+05,2,18,1,0.0645222197682566,0.953
1e+05,5,18,1,0.0546057993233115,0.991
20000,1,18,1,0.145657378889119,0.943
20000,2,18,1,0.12268931547396,0.979
20000,5,18,1,0.102220680067723,1
50000,1,18,1,0.0984070449901705,0.928
50000,2,18,1,0.0845210671080838,0.96
50000,5,18,1,0.0782395343257993,0.986
100,1,19,1,0.887943313941881,0.978
100,2,19,1,0.921489325049116,0.973
100,5,19,1,0.912636543189654,0.978
1000,1,19,1,0.411346855678661,0.995
1000,2,19,1,0.392156975397684,0.998
1000,5,19,1,0.3813348509725,0.999
10000,1,19,1,0.174824637993484,0.976
10000,2,19,1,0.154982058936645,0.992
10000,5,19,1,0.143224216012909,0.998
1e+05,1,19,1,0.07583520513016,0.874
1e+05,2,19,1,0.0671118992327443,0.934
1e+05,5,19,1,0.055554285675182,0.989
20000,1,19,1,0.136765871353855,0.979
20000,2,19,1,0.123713364134072,0.985
20000,5,19,1,0.113572430535051,0.996
50000,1,19,1,0.0938458403526519,0.923
50000,2,19,1,0.0772065042930976,0.986
50000,5,19,1,0.0676867107716225,0.998
100,1,2,1,0.95054457460686,0.947
100,2,2,1,0.937578131039361,0.951
100,5,2,1,0.921248963184941,0.952
1000,1,2,1,0.386148834127594,0.999
1000,2,2,1,0.375296497389468,0.999
1000,5,2,1,0.365641166366058,0.999
10000,1,2,1,0.192979246247987,0.966
10000,2,2,1,0.171792311287115,0.988
10000,5,2,1,0.153103082460883,0.998
1e+05,1,2,1,0.0750813375610958,0.887
1e+05,2,2,1,0.0628207831073811,0.95
1e+05,5,2,1,0.0509773909837682,0.994
20000,1,2,1,0.139184475032376,0.964
20000,2,2,1,0.129324549894997,0.984
20000,5,2,1,0.12068690243825,0.991
50000,1,2,1,0.102374859463248,0.901
50000,2,2,1,0.0877911807081472,0.971
50000,5,2,1,0.0782055723297657,0.986
100,1,20,1,1.02847921081224,0.97
100,2,20,1,1.03547338082574,0.97
100,5,20,1,1.0385214651238,0.969
1000,1,20,1,0.371757211583179,0.998
1000,2,20,1,0.342107991623788,0.997
1000,5,20,1,0.344306933237889,0.996
10000,1,20,1,0.177086430317552,0.981
10000,2,20,1,0.171358225793974,0.994
10000,5,20,1,0.152693903949301,0.996
1e+05,1,20,1,0.0844886189663824,0.857
1e+05,2,20,1,0.0687014765837326,0.949
1e+05,5,20,1,0.0600259542138107,0.982
20000,1,20,1,0.142098636407228,0.957
20000,2,20,1,0.116618425813445,0.985
20000,5,20,1,0.106435095776066,0.994
50000,1,20,1,0.10242671836114,0.915
50000,2,20,1,0.0844343548571539,0.972
50000,5,20,1,0.070778282528837,0.996
100,1,21,1,0.984456617529211,0.928
100,2,21,1,0.977660630793196,0.925
100,5,21,1,0.978903933997011,0.927
1000,1,21,1,0.367392847256036,0.994
1000,2,21,1,0.342787650208212,0.997
1000,5,21,1,0.336918681135943,0.999
10000,1,21,1,0.189064916476309,0.969
10000,2,21,1,0.173445014804186,0.99
10000,5,21,1,0.164015630077543,0.994
1e+05,1,21,1,0.0796568451603361,0.858
1e+05,2,21,1,0.0625935301113302,0.949
1e+05,5,21,1,0.0547339272351489,0.983
20000,1,21,1,0.148278072511432,0.956
20000,2,21,1,0.119998930299234,0.985
20000,5,21,1,0.11094436960775,0.995
50000,1,21,1,0.0989733799762799,0.923
50000,2,21,1,0.0837374877372845,0.976
50000,5,21,1,0.073475162660102,0.994
100,1,22,1,1.09037182854739,0.909
100,2,22,1,1.08623667703094,0.917
100,5,22,1,1.0933510441391,0.916
1000,1,22,1,0.462549925157071,0.991
1000,2,22,1,0.438868411493556,0.994
1000,5,22,1,0.43834172157146,0.994
10000,1,22,1,0.192078907505972,0.965
