"n","nchain","run","exp","rmse","cov"
1000,5,15,1,20.9293222458227,0.336
10000,1,15,1,30.9499835429928,0.16
10000,2,15,1,30.9519964780185,0.164
10000,5,15,1,30.9283636254573,0.17
1e+05,1,15,1,25.4101622969085,0.047
1e+05,2,15,1,25.4551774214618,0.06
1e+05,5,15,1,25.3957761482665,0.072
20000,1,15,1,19.1479507297595,0.184
20000,2,15,1,19.1033525303274,0.2
20000,5,15,1,19.1000698879863,0.217
50000,1,15,1,34.5799708827266,0.03
50000,2,15,1,34.499679489491,0.031
50000,5,15,1,34.4296495126469,0.034
100,1,16,1,12.7923513442209,0.844
100,2,16,1,12.8134637452464,0.845
100,5,16,1,12.8564440382063,0.839
1000,1,16,1,46.1810185874363,0.434
1000,2,16,1,46.0703873353855,0.436
1000,5,16,1,46.0826215174156,0.447
10000,1,16,1,35.0976831621593,0.09
10000,2,16,1,35.1187357623558,0.089
10000,5,16,1,34.9856833725439,0.108
1e+05,1,16,1,22.8794041648428,0.069
1e+05,2,16,1,22.9280405960765,0.094
1e+05,5,16,1,22.8704962989787,0.098
20000,1,16,1,14.5244183169882,0.293
20000,2,16,1,14.4501865598529,0.309
20000,5,16,1,14.3988927414107,0.33
50000,1,16,1,35.7086451386698,0.05
50000,2,16,1,35.6369554840976,0.061
50000,5,16,1,35.659839557097,0.07
100,1,17,1,36.1767674675888,0.459
100,2,17,1,36.1488754666617,0.449
100,5,17,1,36.1211522457117,0.455
1000,1,17,1,62.745131543768,0.108
1000,2,17,1,62.7414701119501,0.11
1000,5,17,1,62.6896562868023,0.112
10000,1,17,1,32.3761616178895,0.071
10000,2,17,1,32.1887645977108,0.087
10000,5,17,1,32.1898706623001,0.087
1e+05,1,17,1,17.5134505958517,0.129
1e+05,2,17,1,17.4230354502285,0.157
1e+05,5,17,1,17.4105610597842,0.171
20000,1,17,1,29.2566551623536,0.147
20000,2,17,1,29.1776545668231,0.165
20000,5,17,1,29.2204549659878,0.166
50000,1,17,1,34.522871535576,0.065
50000,2,17,1,34.4792351960131,0.07
50000,5,17,1,34.4811840918176,0.089
100,1,18,1,27.1356403967975,0.815
100,2,18,1,26.8362621404165,0.829
100,5,18,1,27.1951041033827,0.81
1000,1,18,1,21.9542923540394,0.411
1000,2,18,1,22.0160182934975,0.412
1000,5,18,1,22.0438923934098,0.421
10000,1,18,1,37.9995328463235,0.085
10000,2,18,1,37.9821830924489,0.089
10000,5,18,1,37.9992180809831,0.098
1e+05,1,18,1,23.9980099777036,0.073
1e+05,2,18,1,23.9034782801888,0.08
1e+05,5,18,1,23.9467478936805,0.101
20000,1,18,1,27.2085144905998,0.086
20000,2,18,1,27.2585850550647,0.099
20000,5,18,1,27.2085368946306,0.108
50000,1,18,1,43.2586274233402,0.022
50000,2,18,1,43.2656344767152,0.028
50000,5,18,1,43.2533795875547,0.032
100,1,19,1,15.5952320713363,0.909
100,2,19,1,15.6333346476193,0.912
100,5,19,1,15.3553003927001,0.913
1000,1,19,1,16.6223944183596,0.907
1000,2,19,1,16.4378388737422,0.904
1000,5,19,1,16.6480218082814,0.902
10000,1,19,1,28.1057687091264,0.191
10000,2,19,1,28.2088163915331,0.194
10000,5,19,1,28.19127784046,0.198
1e+05,1,19,1,28.8376761292945,0.102
1e+05,2,19,1,28.8204187567714,0.125
1e+05,5,19,1,28.7519420932129,0.139
20000,1,19,1,56.1882374928175,0.002
20000,2,19,1,56.2665224928813,0.003
20000,5,19,1,56.2567096552274,0.002
50000,1,19,1,17.5771824923212,0.136
50000,2,19,1,17.4856503873942,0.156
50000,5,19,1,17.4975707552528,0.17
100,1,2,1,40.8513152119854,0.445
100,2,2,1,40.6830675711234,0.46
100,5,2,1,40.5460342932498,0.465
