"n","nchain","run","exp","rmse","cov"
20000,1,16,1,0.330614440700647,0.951
20000,10,16,1,0.315706071690864,0.974
20000,20,16,1,0.316289129215017,0.976
50000,1,16,1,0.239885398801809,0.952
50000,10,16,1,0.241211050210451,0.973
50000,20,16,1,0.245589741224797,0.971
1000,1,17,1,0.917671361528128,0.968
1000,10,17,1,0.928758799673391,0.965
1000,20,17,1,0.907679460270209,0.968
10000,1,17,1,0.485112517492708,0.928
10000,10,17,1,0.474994640638199,0.937
10000,20,17,1,0.474605884719025,0.942
1e+05,1,17,1,0.306067216882265,0.926
1e+05,10,17,1,0.306787480032562,0.943
1e+05,20,17,1,0.303891935666038,0.948
20000,1,17,1,0.367961244556709,0.941
20000,10,17,1,0.359396135310937,0.949
20000,20,17,1,0.357802707519909,0.953
50000,1,17,1,0.363486749971742,0.927
50000,10,17,1,0.355129139506954,0.941
50000,20,17,1,0.352335158878487,0.941
1000,1,18,1,0.871699065304173,0.985
1000,10,18,1,0.853138984541513,0.989
1000,20,18,1,0.854592162845417,0.986
10000,1,18,1,0.462899570454952,0.94
10000,10,18,1,0.442537234083849,0.956
10000,20,18,1,0.442649595949777,0.96
1e+05,1,18,1,0.272842776177432,0.925
1e+05,10,18,1,0.26006399790588,0.966
1e+05,20,18,1,0.258289827816351,0.963
20000,1,18,1,0.331511377910189,0.959
20000,10,18,1,0.307576639922007,0.972
20000,20,18,1,0.303229094849948,0.978
50000,1,18,1,0.294031308042917,0.949
50000,10,18,1,0.29976169531813,0.953
50000,20,18,1,0.301210818824984,0.953
1000,1,19,1,0.90439920475712,0.964
1000,10,19,1,0.888246137539567,0.968
1000,20,19,1,0.874557331645383,0.974
10000,1,19,1,0.44843408890341,0.942
10000,10,19,1,0.429855089582045,0.958
10000,20,19,1,0.43254448911903,0.963
1e+05,1,19,1,0.340126281313764,0.888
1e+05,10,19,1,0.328247767039649,0.948
1e+05,20,19,1,0.32591694937535,0.949
20000,1,19,1,0.342847340503306,0.975
20000,10,19,1,0.347429849546231,0.982
20000,20,19,1,0.340341425378671,0.984
50000,1,19,1,0.265703727961326,0.937
50000,10,19,1,0.249735306699456,0.96
50000,20,19,1,0.24823203503978,0.96
1000,1,2,1,0.767693127625041,0.992
1000,10,2,1,0.818952669395467,0.99
1000,20,2,1,0.796712579093689,0.994
10000,1,2,1,0.428171219516965,0.958
10000,10,2,1,0.395846119983454,0.968
10000,20,2,1,0.390481958771176,0.968
1e+05,1,2,1,0.265569287231982,0.928
1e+05,10,2,1,0.262334764960045,0.945
1e+05,20,2,1,0.262893708990815,0.95
20000,1,2,1,0.342412833841279,0.954
20000,10,2,1,0.355768210718587,0.955
20000,20,2,1,0.347068536904327,0.968
50000,1,2,1,0.312725026411324,0.938
50000,10,2,1,0.313306768044416,0.948
50000,20,2,1,0.311960889547801,0.949
1000,1,20,1,1.00581877085406,0.953
1000,10,20,1,0.967982682794811,0.963
1000,20,20,1,0.975376536574783,0.958
10000,1,20,1,0.437972532139599,0.946
10000,10,20,1,0.427784292338973,0.951
10000,20,20,1,0.425232718695697,0.955
1e+05,1,20,1,0.312612478041215,0.921
1e+05,10,20,1,0.301179328099764,0.945
1e+05,20,20,1,0.302299929357276,0.948
20000,1,20,1,0.405711656906446,0.937
20000,10,20,1,0.393345040778313,0.937
20000,20,20,1,0.392129484875901,0.947
50000,1,20,1,0.249961460368252,0.965
50000,10,20,1,0.246056599805046,0.966
50000,20,20,1,0.24254277742983,0.975
1000,1,21,1,0.880806053364062,0.981
1000,10,21,1,0.866611926377002,0.988
1000,20,21,1,0.859745368893824,0.985
10000,1,21,1,0.427916868817695,0.946
10000,10,21,1,0.412366883261773,0.966
10000,20,21,1,0.414503928561346,0.966
1e+05,1,21,1,0.262514403579171,0.898
1e+05,10,21,1,0.257295257043039,0.953
1e+05,20,21,1,0.255185452136205,0.954
20000,1,21,1,0.376862570143047,0.956
20000,10,21,1,0.352064531967771,0.96
20000,20,21,1,0.350645072021416,0.963
50000,1,21,1,0.238879172118823,0.947
50000,10,21,1,0.226394411004037,0.97
50000,20,21,1,0.22696863529534,0.971
1000,1,22,1,0.798669565801767,0.979
1000,10,22,1,0.81180240399951,0.975
1000,20,22,1,0.80878164923576,0.98
10000,1,22,1,0.479446557620903,0.953
10000,10,22,1,0.481675544434731,0.966
10000,20,22,1,0.467681057297257,0.973
1e+05,1,22,1,0.287591576472584,0.938
1e+05,10,22,1,0.294192580161625,0.953
1e+05,20,22,1,0.294221325240406,0.954
20000,1,22,1,0.394837076824429,0.941
20000,10,22,1,0.388564865100084,0.946
20000,20,22,1,0.395762250323276,0.944
50000,1,22,1,0.33248357978463,0.927
50000,10,22,1,0.325971899035697,0.953
50000,20,22,1,0.328541799298646,0.951
1000,1,23,1,0.821361229308603,0.98
1000,10,23,1,0.825097186137385,0.986
1000,20,23,1,0.849572402938432,0.984
10000,1,23,1,0.416906414759003,0.964
10000,10,23,1,0.414715148902342,0.976
10000,20,23,1,0.405243897050608,0.976
1e+05,1,23,1,0.363108373202673,0.899
1e+05,10,23,1,0.347788685544841,0.929
1e+05,20,23,1,0.347112779572331,0.93
20000,1,23,1,0.294997776152964,0.959
20000,10,23,1,0.294691785088635,0.972
20000,20,23,1,0.288922222347029,0.977
50000,1,23,1,0.248751319230047,0.966
50000,10,23,1,0.241905842237658,0.969
50000,20,23,1,0.23686603364473,0.97
1000,1,24,1,0.804322116174828,0.982
1000,10,24,1,0.784695073437162,0.985
1000,20,24,1,0.798198972749029,0.983
10000,1,24,1,0.354513602698519,0.977
10000,10,24,1,0.310219997872028,0.992
10000,20,24,1,0.308650413344333,0.992
1e+05,1,24,1,0.211239582557538,0.902
1e+05,10,24,1,0.189356909158698,0.96
1e+05,20,24,1,0.189459496104089,0.959
20000,1,24,1,0.289276190190522,0.976
20000,10,24,1,0.277532034454577,0.989
20000,20,24,1,0.278377003395211,0.983
50000,1,24,1,0.286634836076584,0.925
50000,10,24,1,0.271960788867001,0.962
50000,20,24,1,0.268488254978579,0.963
1000,1,25,1,0.803632673855873,0.981
1000,10,25,1,0.812111843520481,0.984
1000,20,25,1,0.806958485282891,0.987
10000,1,25,1,0.438043709729456,0.933
10000,10,25,1,0.436235364121335,0.937
10000,20,25,1,0.43579393346085,0.938
1e+05,1,25,1,0.385895964190442,0.865
1e+05,10,25,1,0.377931848306926,0.933
