"n","nchain","run","exp","rmse","cov"
1e+05,20,16,1,0.0451427908037854,0.999
20000,1,16,1,0.139368702421843,0.959
20000,10,16,1,0.100613790238007,1
20000,20,16,1,0.0953687652701726,0.999
50000,1,16,1,0.106498834842772,0.918
50000,10,16,1,0.0684893899600365,1
50000,20,16,1,0.0655798878495612,1
1000,1,17,1,0.348309634251328,0.999
1000,10,17,1,0.334429190177131,0.999
1000,20,17,1,0.330670810729174,1
10000,1,17,1,0.189732953386613,0.972
10000,10,17,1,0.147808452376089,0.999
10000,20,17,1,0.141090022999748,1
1e+05,1,17,1,0.0770003289910103,0.88
1e+05,10,17,1,0.0517183493178012,0.995
1e+05,20,17,1,0.0484856965523041,0.998
20000,1,17,1,0.134408241711938,0.971
20000,10,17,1,0.104208141642504,0.998
20000,20,17,1,0.103706800911281,0.999
50000,1,17,1,0.102500254226837,0.928
50000,10,17,1,0.0753748652910143,0.998
50000,20,17,1,0.0699434871814151,1
1000,1,18,1,0.413821373099311,0.994
1000,10,18,1,0.383348897197451,1
1000,20,18,1,0.385803209190152,0.999
10000,1,18,1,0.188339720488479,0.973
10000,10,18,1,0.152823207944046,0.995
10000,20,18,1,0.147860159625833,0.995
1e+05,1,18,1,0.0779607074528442,0.887
1e+05,10,18,1,0.0526415243077061,0.994
1e+05,20,18,1,0.0482783413101949,0.998
20000,1,18,1,0.145657378889119,0.943
20000,10,18,1,0.0969802262786981,1
20000,20,18,1,0.093047153765756,1
50000,1,18,1,0.0984070449901705,0.928
50000,10,18,1,0.0737222037407737,0.996
50000,20,18,1,0.0711192775369665,0.997
1000,1,19,1,0.411346855678661,0.995
1000,10,19,1,0.380844697573964,0.997
1000,20,19,1,0.376769894644447,0.997
10000,1,19,1,0.174824637993484,0.976
10000,10,19,1,0.138267364102448,0.995
10000,20,19,1,0.139363334396126,0.996
1e+05,1,19,1,0.07583520513016,0.874
1e+05,10,19,1,0.0516777919135776,0.995
1e+05,20,19,1,0.0489530971440859,0.997
20000,1,19,1,0.136765871353855,0.979
20000,10,19,1,0.109730088204114,0.998
20000,20,19,1,0.1024180791215,0.999
50000,1,19,1,0.0938458403526519,0.923
50000,10,19,1,0.0651834126946622,0.997
50000,20,19,1,0.0609791488380046,1
1000,1,2,1,0.386148834127594,0.999
1000,10,2,1,0.372530242223986,0.998
1000,20,2,1,0.355230423698732,1
10000,1,2,1,0.192979246247987,0.966
10000,10,2,1,0.144708235294919,0.997
10000,20,2,1,0.143759703820083,0.998
1e+05,1,2,1,0.0750813375610958,0.887
1e+05,10,2,1,0.0459995383018637,0.999
1e+05,20,2,1,0.0433961648925885,1
20000,1,2,1,0.139184475032376,0.964
20000,10,2,1,0.113357298650289,0.997
20000,20,2,1,0.108576378605931,0.999
50000,1,2,1,0.102374859463248,0.901
50000,10,2,1,0.0707825741778631,0.995
50000,20,2,1,0.0666121113012474,0.997
1000,1,20,1,0.371757211583179,0.998
1000,10,20,1,0.334695639922442,0.998
1000,20,20,1,0.329794182087822,0.998
10000,1,20,1,0.177086430317552,0.981
10000,10,20,1,0.145295667569904,0.997
10000,20,20,1,0.140233349297661,0.999
1e+05,1,20,1,0.0844886189663824,0.857
1e+05,10,20,1,0.0555523518924565,0.993
1e+05,20,20,1,0.0530711027734245,0.995
20000,1,20,1,0.142098636407228,0.957
20000,10,20,1,0.103562520400598,0.998
20000,20,20,1,0.0999774741961745,1
50000,1,20,1,0.10242671836114,0.915
50000,10,20,1,0.0670060644728955,0.997
50000,20,20,1,0.0650970332722968,0.999
1000,1,21,1,0.367392847256036,0.994
1000,10,21,1,0.339478193481077,0.998
1000,20,21,1,0.330169032757497,0.998
10000,1,21,1,0.189064916476309,0.969
10000,10,21,1,0.157147053415041,0.997
10000,20,21,1,0.152436378095962,0.997
1e+05,1,21,1,0.0796568451603361,0.858
1e+05,10,21,1,0.050620683230473,0.996
1e+05,20,21,1,0.0493601256764051,0.999
20000,1,21,1,0.148278072511432,0.956
20000,10,21,1,0.104471803616641,0.999
20000,20,21,1,0.100414905710375,0.999
50000,1,21,1,0.0989733799762799,0.923
50000,10,21,1,0.0668857967834073,1
50000,20,21,1,0.0635322160310467,0.998
1000,1,22,1,0.462549925157071,0.991
1000,10,22,1,0.420160160186282,0.994
1000,20,22,1,0.410978217156985,0.995
10000,1,22,1,0.192078907505972,0.965
10000,10,22,1,0.154929701363724,0.999
10000,20,22,1,0.147756365915196,1
1e+05,1,22,1,0.0723288749023819,0.888
1e+05,10,22,1,0.0510472301607932,1
1e+05,20,22,1,0.0478811454039045,0.999
20000,1,22,1,0.127950059466853,0.973
20000,10,22,1,0.103153969878449,0.995
20000,20,22,1,0.102364801914163,0.998
50000,1,22,1,0.107272573162421,0.893
50000,10,22,1,0.0682237470175756,0.997
50000,20,22,1,0.0639605005521299,1
1000,1,23,1,0.412764031268646,0.996
1000,10,23,1,0.39279761686196,0.998
1000,20,23,1,0.386094197537295,0.998
10000,1,23,1,0.201998808164123,0.969
10000,10,23,1,0.160941267316623,0.999
10000,20,23,1,0.153414575353092,0.999
1e+05,1,23,1,0.0775552968424472,0.869
1e+05,10,23,1,0.0479857492154289,0.996
1e+05,20,23,1,0.0448678766728123,0.996
20000,1,23,1,0.135514631541062,0.966
20000,10,23,1,0.101175654589217,0.997
20000,20,23,1,0.0981171256019054,0.999
50000,1,23,1,0.099647692174852,0.923
50000,10,23,1,0.0684358733516493,1
50000,20,23,1,0.0638665208739569,1
1000,1,24,1,0.405239071210064,0.997
1000,10,24,1,0.365998569999125,0.998
1000,20,24,1,0.366325022649073,1
10000,1,24,1,0.193210821718723,0.967
10000,10,24,1,0.144794748686794,0.997
10000,20,24,1,0.140699595393906,0.999
1e+05,1,24,1,0.0809854060810309,0.883
1e+05,10,24,1,0.0534869119963539,0.992
1e+05,20,24,1,0.0514001496364271,0.992
20000,1,24,1,0.14783264349872,0.959
20000,10,24,1,0.110393531524102,0.999
20000,20,24,1,0.107987208394887,1
50000,1,24,1,0.0938346154875289,0.943
50000,10,24,1,0.0704922410610252,0.994
50000,20,24,1,0.066731481928644,0.996
1000,1,25,1,0.435948307440815,0.989
1000,10,25,1,0.417702148649356,0.997
1000,20,25,1,0.406049539774464,0.994
10000,1,25,1,0.186710060268281,0.985
10000,10,25,1,0.160510254278823,0.995
10000,20,25,1,0.156809300465718,0.998
1e+05,1,25,1,0.0748336057729248,0.904
1e+05,10,25,1,0.0499092675151475,0.998
1e+05,20,25,1,0.0482247246397931,0.997
20000,1,25,1,0.139370480260998,0.961
20000,10,25,1,0.0999943329940648,0.999
20000,20,25,1,0.095055349882303,0.999
50000,1,25,1,0.0995404426618956,0.921
50000,10,25,1,0.0646109643146151,0.996
50000,20,25,1,0.0603299720783404,0.998
1000,1,26,1,0.387147708337523,0.996
1000,10,26,1,0.378729612672806,0.996
1000,20,26,1,0.368196884102993,0.998
10000,1,26,1,0.173179959874107,0.988
10000,10,26,1,0.137659265241716,0.998
10000,20,26,1,0.136693321830937,0.999
1e+05,1,26,1,0.0826918200911188,0.867
1e+05,10,26,1,0.0534647569160236,0.995
1e+05,20,26,1,0.0521018885783829,0.998
20000,1,26,1,0.139754782988264,0.958
20000,10,26,1,0.104694612988997,0.999
20000,20,26,1,0.102761663698061,1
50000,1,26,1,0.105073928819085,0.905
50000,10,26,1,0.0731573605305838,0.997
50000,20,26,1,0.0698790405908579,0.999
1000,1,27,1,0.432827713721064,0.991
1000,10,27,1,0.383138295193189,0.999
1000,20,27,1,0.379289371567636,0.999
10000,1,27,1,0.204540059557709,0.967
10000,10,27,1,0.157326461048972,0.995
10000,20,27,1,0.151462802928518,0.996
1e+05,1,27,1,0.0761673339544577,0.897
1e+05,10,27,1,0.048796713954437,0.996
1e+05,20,27,1,0.0444567710949692,1
20000,1,27,1,0.129089353906578,0.97
20000,10,27,1,0.101010952790094,0.998
20000,20,27,1,0.10086170216323,0.998
50000,1,27,1,0.0995508443885224,0.926
50000,10,27,1,0.0688276816032914,0.998
50000,20,27,1,0.064621991795364,0.999
1000,1,28,1,0.395478967442931,0.995
1000,10,28,1,0.376968547412364,0.998
1000,20,28,1,0.354212462211932,0.999
10000,1,28,1,0.21146029549092,0.967
10000,10,28,1,0.146572165108741,0.998
10000,20,28,1,0.146348556289067,1
1e+05,1,28,1,0.0775227904617632,0.878
1e+05,10,28,1,0.0527393313291696,0.995
1e+05,20,28,1,0.0494461265492223,0.999
20000,1,28,1,0.136587928492696,0.963
20000,10,28,1,0.109560624458196,0.998
20000,20,28,1,0.104458966893194,0.999
50000,1,28,1,0.0889966022529925,0.935
